Sites,Address,City,State,Zip,Site_Type,Program,Vendor,Running_Total,Cost,Value,Weight,Total_Pounds,6/30/22,7/31/22,8/30/22,9/31/2022,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/31/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/31/2023,12/31/23,Unnamed: 32,Average per Month,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,7/18/22,7/19/22,7/20/22,7/21/22,7/22/22,7/23/22,7/24/22,7/25/22,7/26/22,7/27/22,7/28/22,7/29/22,7/30/22,7/31/22.1,8/1/22,8/2/22,8/3/22,8/4/22,8/5/22,8/6/22,8/7/22,8/8/22,8/9/22,8/10/22,8/11/22,8/12/22,8/13/22,8/14/22,8/15/22,8/16/22,8/17/22,8/18/22,8/19/22,8/20/22,8/21/22,8/22/22,8/23/22,8/24/22,8/25/22,8/26/22,8/27/22,8/28/22,8/29/22,8/30/22.1,8/31/22,9/1/22,9/2/22,9/3/22,9/4/22,9/5/22,9/6/22,9/7/22,9/8/22,9/9/22,9/10/22,9/11/22,9/12/22,9/13/22,9/14/22,9/15/22,9/16/22,9/17/22,9/18/22,9/19/22,9/20/22,9/21/22,9/22/22,9/23/22,9/24/22,9/25/22,9/26/22,9/27/22,9/28/22,9/29/22,lat,lon
Arch Social Club,4022 Edmondson,Baltimore,MD,21229.0,Community,Produce,Common Market,4526.315789,15.0,"$67,894.74",15.0,67894.73684,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,200.0,200.0,200.0,300.0,200.0,200.0,200.0,200.0,300.0,200.0,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2968471,-76.6802526
Beth Am Synagogue,2501 Eutaw Place,Baltimore,MD,21217.0,Community,Produce,Common Market,6052.631579,15.0,"$90,789.47",15.0,90789.47368,200.0,200.0,250.0,400.0,400.0,500.0,500.0,500.0,400.0,200.0,200.0,250.0,200.0,200.0,350.0,250.0,250.0,250.0,250.0,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3147926,-76.63780280000002
Breath of God Lutheran Church,141 S Clinton St,Baltimore,MD,21224.0,Community,Produce,Common Market,4011.111111,15.0,"$60,166.67",15.0,60166.66667,200.0,200.0,200.0,200.0,200.0,150.0,150.0,300.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,400.0,0.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.290352,-76.570009
Centro SOL (Armistead),931 Armistead Way,Baltimore,MD,21205.0,Community,Produce,Common Market,3541.176471,15.0,"$53,117.65",15.0,53117.64706,100.0,200.0,250.0,200.0,200.0,200.0,100.0,0.0,0.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,150.0,250.0,150.0,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3038757,-76.5471312
Centro SOL (Mt Clare),3455 Erdman Ave,Baltimore,MD,21213.0,Community,Produce,Common Market,200.0,15.0,"$3,000.00",15.0,3000.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3186957,-76.5708703
Charm City Land Trust,2424 McElderry St,Baltimore,MD,21205.0,Community,Produce,Common Market,4105.263158,15.0,"$61,578.95",15.0,61578.94737,200.0,200.0,200.0,250.0,200.0,150.0,200.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,200.0,150.0,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2979618,-76.5828068
City of Refuge,3501 7th Street,Baltimore,MD,21225.0,Community,Produce,Common Market,8263.157895,15.0,"$123,947.37",15.0,123947.3684,350.0,400.0,500.0,400.0,400.0,400.0,300.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,500.0,400.0,400.0,500.0,300.0,,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2378817,-76.59913399999999
First Mount Calvary Baptist Church,1142 N Fulton Ave,Baltimore,MD,21217.0,Community,Produce,Common Market,4210.526316,15.0,"$63,157.89",15.0,63157.89474,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,150.0,200.0,200.0,150.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3018749,-76.64637019999999
Freedom Baptist Missionary Church,3455 Erdman Ave,Baltimore,MD,21213.0,Community,Produce,Common Market,4368.421053,15.0,"$65,526.32",15.0,65526.31579,200.0,200.0,250.0,250.0,200.0,250.0,200.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3186957,-76.5708703
Haven City Church/Compassion Center,1706 Eastern Ave,Baltimore,MD,21231.0,Community,Produce,Common Market,8578.947368,15.0,"$128,684.21",15.0,128684.2105,350.0,400.0,500.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,400.0,500.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2857969,-76.5927872
Italian Cultural Center,3020 Vineyard Lane,Baltimore,MD,21218.0,Community,Produce,Common Market,7631.578947,15.0,"$114,473.68",15.0,114473.6842,300.0,350.0,500.0,200.0,400.0,500.0,300.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,300.0,300.0,500.0,400.0,300.0,,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3255073,-76.6099059
Kingdom Life Church,504 Annabel Avenue,Baltimore,MD,21225.0,Community,Produce,Common Market,5473.684211,15.0,"$82,105.26",15.0,82105.26316,200.0,250.0,250.0,200.0,200.0,250.0,550.0,400.0,400.0,250.0,200.0,250.0,200.0,200.0,250.0,250.0,200.0,300.0,400.0,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2381428,-76.60276309999999
Koinonia Baptist Church,5738 Belair Road,Baltimore,MD,21206.0,Community,Produce,Common Market,4210.526316,15.0,"$63,157.89",15.0,63157.89474,100.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3436394,-76.5444579
Kreative Influence,909 E 22nd Street,Baltimore,MD,21218.0,Community,Produce,Common Market,4421.052632,15.0,"$66,315.79",15.0,66315.78947,200.0,200.0,250.0,200.0,200.0,250.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,300.0,200.0,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3141904,-76.6057534
Liberty Village Project,3901 Maine Ave,Baltimore,MD,21207.0,Community,Produce,Common Market,5894.736842,15.0,"$88,421.05",15.0,88421.05263,250.0,200.0,250.0,200.0,350.0,500.0,400.0,500.0,400.0,200.0,200.0,350.0,200.0,200.0,350.0,250.0,250.0,250.0,300.0,,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3263648,-76.68436
Monarch Academy,2525 Kirk Ave,Baltimore,MD,21218.0,Community,Produce,Common Market,4157.894737,15.0,"$62,368.42",15.0,62368.42105,200.0,200.0,200.0,250.0,200.0,200.0,200.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,200.0,150.0,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3193923,-76.6003989
Our Lady of Fatima,6400 E Pratt St,Baltimore,MD,21224.0,Community,Produce,Common Market,4210.526316,15.0,"$63,157.89",15.0,63157.89474,100.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.291258,-76.538956
